,Unnamed: 0,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,State
3178,3178,Pind,"MRK Arcade,Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese",4.5,139,900,Tamil Nadu
3179,3179,Bhatinda Xpress,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Mughlai",4.3,108,1200,Tamil Nadu
3180,3180,Rasavid,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Hyderabadi",3.9,137,900,Tamil Nadu
3181,3181,Kake Da Punjabi Dhabba,"Perungudi, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Mughlai,  Seafood",3.5,13,700,Tamil Nadu
3182,3182,Old Madras Bites,"Madipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Fast Food,  Shakes",3.3,12,500,Tamil Nadu
3183,3183,Oasis,"Park Plaza Chennai,Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian",5.0,3,1500,Tamil Nadu
3184,3184,Dindigul Thalappakatti,"Old Mahabalipuram Road OMR, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",5.0,2,700,Tamil Nadu
3185,3185,Guru Mess,"Pallikaranai, South West Chennai", South West Chennai,Chennai,South Indian,3.7,34,500,Tamil Nadu
3186,3186,Astoria Veg,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"South Indian,  North Indian,  Chinese",4.6,363,500,Tamil Nadu
3187,3187,Amelie's,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Continental,  Desserts,  Drinks",4.5,170,1000,Tamil Nadu
3188,3188,Hub At ECR,"Vettuvankeni, South Chennai", South Chennai,Chennai,"Continental,  North Indian,  Italian,  Seafood,  Fusion",4.3,173,2100,Tamil Nadu
3189,3189,Tosai club,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Continental,  South Indian,  Italian,  Mughlai",4.1,112,800,Tamil Nadu
3190,3190,Dindigul Thalappakatti,"Vettuvankeni, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.2,20,700,Tamil Nadu
3191,3191,Flower Drum,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Thai",4.3,77,1000,Tamil Nadu
3192,3192,Spice Roots,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"South Indian,  North Indian",3.6,40,800,Tamil Nadu
3193,3193,ABs - Absolute Barbecues,"Chromepet, South West Chennai", South West Chennai,Chennai,"North Indian,  Barbecue",4.2,334,1400,Tamil Nadu
3194,3194,Big Hit Lounge,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Continental,  North Indian",3.9,56,1000,Tamil Nadu
3195,3195,Dindigul Thalappakatti,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.2,59,700,Tamil Nadu
3196,3196,Big Hit Restaurant,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3.7,338,1200,Tamil Nadu
3197,3197,Palmshore,"Medavakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood",4.4,35,1000,Tamil Nadu
