,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
3697,Tasty Village Multicuisine Restuarant,"Alwal, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  South Indian",3.3,10,500
3698,Frat House,"SLN Terminus,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,Finger Food,3.6,47,2200
3699,Sky Garden Rooftop Cafe,"Kompally, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Continental",3.8,130,1000
3700,Hotel Mayukha Multicuisine Family Restaurant & Banquet Hall,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Biryani",3.9,95,1000
3701,Aaha Emi Ruchi,"Saroor Nagar West, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese",4.5,58,600
3702,Coco Fit,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Juice,  Shakes",5.0,4,300
3703,Chemistry Family Bar,"Sreshta Platinum,Kothapet, East Hyderabad", East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Mughlai",3.8,146,1800
3704,The Old Madras Baking Company,"Manikonda, West Hyderabad", West Hyderabad,Hyderabad,"Fast Food,  Bakery and Confectionary,  Pizza",3.8,15,600
3705,32 Country Road Bar & Grill,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Continental,  Mexican,  Italian,  Chinese,  Asian",3.7,25,1600
3706,Shree Santosh Family Dhaba,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",3.2,18,700
3707,Masala Republic,"Sreshta Marvel,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Continental,  North Indian",4.0,56,1100
3708,Latitude,"Le Meridien Hyderabad,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,Coffee,5.0,1,800
3709,The Coffee Cup Pizzeria,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Italian,  Continental,  Fast Food,  Coffee",4.4,191,700
3710,Gappe Vappe,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Street Food,  Fast Food",3.0,1,500
3711,Pista House,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4.1,89,900
3712,Artistry,"Novotel,Kothaguda, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Indian Cuisine,  Finger Food",4.1,30,2000
3713,Caffe Ritazza,"Sarath City Capital Mall,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Fast Food,  Italian",4.6,14,1300
3714,The Bar,"Novotel Hyderabad Convention Centre,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Finger Food,  Italian",4.3,12,2500
3715,Cascade,"Radisson Hyderabad Hitec City,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3.9,278,2300
3716,Moxa Kitchen,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",3.8,13,1100
3717,Hotel Tulips Grand,"Tulip Grand,Uppal, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental,  Seafood",4.1,465,900
3718,Barbeque Nation,"Anvi’s ECO Grand,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Barbecue,  North Indian,  Mediterranean",4.4,544,1400
3719,Harley's Fine Baking,"Nagole, East Hyderabad", East Hyderabad,Hyderabad,"Continental,  Desserts",4.6,6,500
3720,The Garage Project,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Continental,  Fast Food",4.5,62,500
3721,Parathas & More,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Street Food",4.3,31,600
