,Name,Rating,Location,Cuisine,Votes,Cost
1642,Destination Kokan,,"Kopar Khairane, Navi Mumbai","North Indian,  Chinese,  Malvani,  Seafood,  Konkani",0,₹ 600 for two (approx.)
1643,Nirvaan - The Indian Kitchen,,"Andheri Link Road , Andheri West","North Indian,  Seafood",0,₹ 1000 for two (approx.)
1644,The Gourmet Kitchen,,"Veera Desai, Andheri West","Continental,  Mediterranean,  Italian,  Health Food",0,₹ 900 for two (approx.)
1645,BrewDog Mid-Town Mumbai,5.0/51 votes,"Lower Parel, South Mumbai","North Indian,  European,  Asian",1 votes,₹ 1600 for two (approx.)
1646,Vividh NX Bar & Cafe,4.3/5236 votes,"Gayatri Shivam Apartment,Kandivali East, North Western","North Indian,  Italian,  Continental",236 votes,₹ 1600 for two (approx.)
1647,Banjara Dhaba,3.5/527 votes,"Kandivali East, North Western",North Indian,27 votes,₹ 500 for two (approx.)
1648,Tibbs Frankie,,"Juhu, Andheri West",Fast Food,0,₹ 200 for two (approx.)
1649,IRISS Bakery & Patisserie,,"Andheri Lokhandwala, Andheri West","Desserts,  Coffee",0,₹ 600 for two (approx.)
1650,Crave Junction,3.9/592 votes,"Kandivali West, North Western","Fast Food,  Italian",92 votes,₹ 1000 for two (approx.)
1651,49 Bakers Avenue,,"Juhu, Andheri West","Desserts,  Bakery and Confectionary",0,₹ 300 for two (approx.)
1652,Express Eats by Tasca,3.3/53 votes,"Cosmos Paradise,Thane West, Thane",Fast Food,3 votes,₹ 500 for two (approx.)
1653,The Roll Company - TRC,,"Hotel Royal Garden,Juhu, Andheri West",Fast Food,0,₹ 600 for two (approx.)
1654,1441 Pizzeria,4.5/575 votes,"Ashar Tiara Complex,Thane West, Thane","Pizza,  Italian",75 votes,₹ 1200 for two (approx.)
1655,Fisco Restobar,4.3/5767 votes,"Kandivali West, North Western","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",767 votes,₹ 2000 for two (approx.)
1656,90ft Above,4.1/5788 votes,"Vini Elegance,Borivali West, North Western","North Indian,  Chinese",788 votes,₹ 1200 for two (approx.)
1657,Cottage Grill,4.3/571 votes,"Dadar West, South Mumbai","North Indian,  Chinese,  Mughlai",71 votes,₹ 1200 for two (approx.)
1658,Zaiqaa,3.8/56 votes,"Rajaram Estate,Dadar East, South Mumbai","North Indian,  Chinese,  Seafood,  Mughlai",6 votes,₹ 800 for two (approx.)
1659,Uttar Dakshin Veg Treat,4.1/55 votes,"Vasant Vihar, Thane","North Indian,  Chinese,  South Indian,  Shakes",5 votes,₹ 900 for two (approx.)
1660,Fuel Up,,"Bandra West, Bandra","Fast Food,  Health Food",0,₹ 700 for two (approx.)
1661,Chitchat Chai,3.8/512 votes,"Kandivali West, North Western","Fast Food,  Tea",12 votes,₹ 600 for two (approx.)
1662,Dwarka Restaurant,3.7/525 votes,"Nerul, Navi Mumbai","North Indian,  South Indian",25 votes,₹ 700 for two (approx.)
1663,City Forestt Family Restaurant & Bar,4.4/546 votes,"Thane West, Thane","North Indian,  Chinese,  Seafood",46 votes,₹ 2000 for two (approx.)
1664,Yogisattva,,"Khar West, Bandra",Health Food,0,₹ 800 for two (approx.)
1665,O Dine,,"Sanpada, Navi Mumbai","North Indian,  Asian,  Mughlai",0,₹ 1500 for two (approx.)
1666,Royal Rasoi,4.5/537 votes,"Hawares Centurion Mall,Seawoods, Navi Mumbai","North Indian,  Chinese,  Seafood",37 votes,₹ 1000 for two (approx.)
1667,Arabian Chillies Restaurant,3.9/554 votes,"Dreamz Horizon Building,Nerul, Navi Mumbai","Mughlai,  Chinese",54 votes,₹ 1000 for two (approx.)
1668,Twistie's,4.4/526 votes,"Sunrise Shopping Center,Thane West, Thane","Italian,  Pizza,  Fast Food",26 votes,₹ 800 for two (approx.)
1669,Pizza Caprina,3.5/52 votes,"Nerul, Navi Mumbai",Pizza,2 votes,₹ 400 for two (approx.)
1670,Chaayos - Meri Wali Chai,4.8/55 votes,"Nerul, Navi Mumbai",Tea,5 votes,₹ 500 for two (approx.)
1671,Burgizza,,"Goregaon West, North Western","Fast Food,  Burger",0,₹ 500 for two (approx.)
1672,Arab Restaurant,3.9/538 votes,"Sewri, South Mumbai","North Indian,  Chinese,  Mughlai",38 votes,₹ 700 for two (approx.)
1673,Star Of China,,"Near Andheri West Station, Andheri West",Chinese,0,₹ 700 for two (approx.)
1674,Cheelizza,4.3/563 votes,"Raj Arcade,Kandivali West, North Western","Pizza,  Italian",63 votes,₹ 600 for two (approx.)
1675,Kattyz,3.0/52 votes,"Amrapali Shopping Center,Vasant Vihar, Thane",Fast Food,2 votes,₹ 200 for two (approx.)
1676,Preeti Sandwich and Juice Centre,4.7/53 votes,"Amanda Shopping Centre,Thane West, Thane",Fast Food,3 votes,₹ 600 for two (approx.)
1677,Upper Deck,4.2/5155 votes,"Hawares Centurion Mall,Seawoods, Navi Mumbai","Italian,  Continental,  North Indian,  Chinese,  Seafood",155 votes,₹ 1000 for two (approx.)
1678,Punjab Grill,4.2/524 votes,"Nerul, Navi Mumbai","North Indian,  Mughlai",24 votes,₹ 3000 for two (approx.)
1679,San Marzano Pizzeria & Grill,4.7/527 votes,"Kandivali West, North Western","Pizza,  Italian,  Mexican",27 votes,₹ 500 for two (approx.)
1680,Monopoly,3.9/554 votes,"Borivali West, North Western",Fast Food,54 votes,₹ 600 for two (approx.)
1681,Cafe Amigos,4.2/531 votes,"Sunrise Shopping Center,Thane West, Thane","Fast Food,  Italian,  Continental",31 votes,₹ 1000 for two (approx.)
1682,Mad Over Donuts,4.4/541 votes,"Profit Centre,Kandivali West, North Western","Desserts,  Doughnuts,  Waffle",41 votes,₹ 450 for two (approx.)
1683,Balaji Idli House,4.2/520 votes,"Panchsheel Heights,Kandivali West, North Western","South Indian,  North Indian,  Chinese",20 votes,₹ 800 for two (approx.)
1684,99 Pancakes,4.0/55 votes,"Raj Arcade,Kandivali West, North Western","Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",5 votes,₹ 500 for two (approx.)
1685,Gigil Brasserie,4.3/569 votes,"Bhattad Towers,Borivali West, North Western","Italian,  Fast Food,  Desserts",69 votes,₹ 1000 for two (approx.)
1686,Mad Over Donuts,4.4/528 votes,"Bhattad Towers,Borivali West, North Western","Desserts,  Doughnuts,  Waffle",28 votes,₹ 450 for two (approx.)
1687,Frozen Bottle,4.4/533 votes,"Prabhadevi, South Mumbai","Desserts,  Shakes,  Ice Cream",33 votes,₹ 500 for two (approx.)
1688,Coconuts Lagoon Coastal Cuisine & Bar,4.5/544 votes,"Dosti Imperia,Thane West, Thane","North Indian,  Chinese,  Seafood",44 votes,₹ 1500 for two (approx.)
1689,Aromas Cafe,4.2/521 votes,"Seawoods, Navi Mumbai","Italian,  Fast Food,  Desserts,  Coffee,  Tea",21 votes,₹ 1000 for two (approx.)
1690,London Taxi,4.4/5403 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","Multi-Cuisine,  Continental,  European,  Asian,  Modern Indian",403 votes,₹ 1600 for two (approx.)
1691,Food Hub Family Restaurant,3.8/56 votes,"Seawoods, Navi Mumbai","North Indian,  Chinese,  Fast Food",6 votes,₹ 800 for two (approx.)
1692,TIB - The Ice-cream Bakery,,"Versova, Andheri West","Ice Cream,  Desserts",0,₹ 300 for two (approx.)
1693,Taco Bell,4.0/516 votes,"Seawoods Grand Central Mall,Seawoods, Navi Mumbai","Fast Food,  Mexican,  American",16 votes,₹ 500 for two (approx.)
1694,Chow Me Up,,"7 Bungalows, Andheri West","Chinese,  Seafood,  Asian",0,₹ 500 for two (approx.)
1695,East Asia - The Asian Fanfare,4.4/5197 votes,"Borivali West, North Western","Multi-Cuisine,  North Indian,  Chinese,  Thai,  Japanese,  Asian,  Korean",197 votes,₹ 1200 for two (approx.)
1696,Tibbs Frankie,,"Bandra West, Bandra",Fast Food,0,₹ 200 for two (approx.)
1697,Coffee By Di Bella,4.1/5170 votes,"Bhattad Towers,Borivali West, North Western","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",170 votes,₹ 700 for two (approx.)
1698,House of Misal,5.0/51 votes,"Borivali West, North Western","Maharashtrian,  Street Food",1 votes,₹ 200 for two (approx.)
1699,Around d' Globe,4.3/5327 votes,"Borivali West, North Western","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican,  Oriental ",327 votes,₹ 1000 for two (approx.)
1700,Pop Tate's,4.2/5199 votes,"R Mall,Thane West, Thane","Chinese,  Italian,  Continental",199 votes,₹ 2000 for two (approx.)
1701,KOKO,4.7/5178 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","Asian,  Japanese,  Oriental ,  Sushi",178 votes,₹ 3000 for two (approx.)
1702,Magari,4.0/510 votes,"Kandivali West, North Western","Italian,  Continental",10 votes,₹ 900 for two (approx.)
1703,Pop Tate's,4.3/5610 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","Chinese,  Italian,  Continental",610 votes,₹ 2000 for two (approx.)
1704,Banana Leaf,4.2/553 votes,"Aditiya Apartments,Borivali West, North Western","South Indian,  Street Food",53 votes,₹ 1000 for two (approx.)
1705,MH04 The Drunk Yard,4.3/5111 votes,"Kothari Compound,Thane West, Thane","Finger Food,  North Indian,  Italian,  Continental,  Mexican",111 votes,₹ 2000 for two (approx.)
1706,The Bombay Cartel,4.2/532 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","North Indian,  Italian,  Chinese,  Continental",32 votes,₹ 1800 for two (approx.)
1707,"Ambrosia Cakes, Bakes and Snacks",4.0/51 votes,"Malad West, North Western","Desserts,  Bakery and Confectionary",1 votes,₹ 400 for two (approx.)
1708,Amar Juice & Restaurant,4.0/51 votes,"Borivali West, North Western","Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Mexican,  Street Food,  Fast Food,  Juice,  Shakes",1 votes,₹ 500 for two (approx.)
1709,Maple Restro Bar,4.1/521 votes,"Agarwal Arcade,Thane West, Thane","North Indian,  Chinese,  Seafood,  Mughlai",21 votes,₹ 1000 for two (approx.)
1710,99 Pancakes,3.0/52 votes,"Prabhadevi, South Mumbai","Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",2 votes,₹ 500 for two (approx.)
1711,TAO - Asian Kitchen,,"Bandra West, Bandra","Japanese,  Asian",0,₹ 1500 for two (approx.)
1712,Makhna,3.2/55 votes,"Seawoods, Navi Mumbai",North Indian,5 votes,₹ 1700 for two (approx.)
1713,Younion,4.3/5116 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","European,  Asian,  Finger Food,  Fast Food",116 votes,₹ 2000 for two (approx.)
1714,Tibbs Frankie,,"Bandra West, Bandra",Fast Food,0,₹ 200 for two (approx.)
1715,Angrezi Dhaba,4.1/5613 votes,"Todi Mills,Lower Parel, South Mumbai","Multi-Cuisine,  North Indian,  Chinese,  Thai,  Seafood,  Finger Food",613 votes,₹ 1500 for two (approx.)
1716,Delhi Highway,4.3/5103 votes,"Todi Mills,Lower Parel, South Mumbai","North Indian,  Mughlai",103 votes,₹ 1200 for two (approx.)
1717,Frozen Bottle,2.5/52 votes,"Bhoomi Enclave,Kandivali West, North Western","Desserts,  Shakes,  Ice Cream",2 votes,₹ 500 for two (approx.)
1718,Dinshaw's Xpress Cafe,4.2/541 votes,"Borivali West, North Western","Ice Cream,  Desserts,  Fast Food",41 votes,₹ 1500 for two (approx.)
1719,Masala Mastee,4.3/5311 votes,"Borivali West, North Western","North Indian,  Chinese,  Continental,  Street Food,  Fast Food",311 votes,₹ 1200 for two (approx.)
1720,Prasad Food Divine,4.4/5172 votes,"Manpada, Thane","North Indian,  Chinese,  Continental",172 votes,₹ 1000 for two (approx.)
1721,Chaayos - Meri Wali Chai,4.3/56 votes,"Kamala Mills Compound,Lower Parel, South Mumbai",Tea,6 votes,₹ 500 for two (approx.)
1722,New York Burrito Company,4.3/541 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","Mexican,  Fast Food",41 votes,₹ 600 for two (approx.)
1723,Aromas Cafe & Bistro,2.8/56 votes,"Indiabulls Finance Center,Lower Parel, South Mumbai","Italian,  Fast Food,  Desserts,  Coffee,  Tea",6 votes,₹ 1500 for two (approx.)
1724,Sammy Sosa,4.6/5328 votes,"CBD-Belapur, Navi Mumbai","Italian,  Asian,  Continental,  Mexican",328 votes,₹ 1500 for two (approx.)
1725,Pop Tate's,4.5/5204 votes,"The Walk,Thane West, Thane","Chinese,  Italian,  Continental",204 votes,₹ 2000 for two (approx.)
1726,Frozen Bottle,,"Kandivali East, North Western","Desserts,  Shakes,  Ice Cream",0,₹ 500 for two (approx.)
1727,Yum In Tum,5.0/51 votes,"Borivali West, North Western","Italian,  Lebanese,  Fast Food",1 votes,₹ 400 for two (approx.)
1728,West 1,4.0/5192 votes,"The Park Navi Mumbai,CBD-Belapur, Navi Mumbai","Multi-Cuisine,  North Indian,  Italian,  Continental",192 votes,₹ 3000 for two (approx.)
1729,Street Gourmet,3.8/557 votes,"Borivali West, North Western","Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Street Food,  Fast Food,  Shakes",57 votes,₹ 1000 for two (approx.)
1730,Srinathji's,4.3/517 votes,"Jagdamba Bhavan,Lower Parel, South Mumbai","Desserts,  Bakery and Confectionary",17 votes,₹ 500 for two (approx.)
1731,Ambience Bar & Kitchen,4.3/5104 votes,"Jagdamba Bhavan,Lower Parel, South Mumbai","North Indian,  Chinese,  Continental,  Seafood",104 votes,₹ 2000 for two (approx.)
1732,K's Charcoal,4.0/515 votes,"Borivali West, North Western","Fast Food,  Pizza,  Italian",15 votes,₹ 1000 for two (approx.)
1733,Social,3.8/514 votes,"Mathuradas Mills Compound,Lower Parel, South Mumbai","North Indian,  Continental,  Finger Food,  American,  Asian",14 votes,₹ 2000 for two (approx.)
1734,1441 Pizzeria,4.6/5165 votes,"Kamala Mills Compound,Lower Parel, South Mumbai","Pizza,  Italian",165 votes,₹ 1200 for two (approx.)
1735,Dhaba Cafe,4.7/537 votes,"Mariam Mansion,Lower Parel, South Mumbai","Street Food,  Fast Food,  Pizza",37 votes,₹ 600 for two (approx.)
1736,Zaika Crave,4.3/5335 votes,"Club Aquaria,Borivali West, North Western","North Indian,  Chinese,  Continental",335 votes,₹ 1500 for two (approx.)
1737,Invento,4.2/591 votes,"Shinde Building,Lower Parel, South Mumbai","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian",91 votes,₹ 1300 for two (approx.)
1738,Dusk,3.5/519 votes,"The Park Navi Mumbai,CBD-Belapur, Navi Mumbai",Finger Food,19 votes,₹ 2500 for two (approx.)
1739,Elementaria Bakery Cafe,4.3/515 votes,"Lower Parel, South Mumbai","Desserts,  Fast Food",15 votes,₹ 800 for two (approx.)
1740,Mad Over Donuts,4.5/557 votes,"High Street Phoenix Mall,Lower Parel, South Mumbai","Desserts,  Doughnuts,  Waffle",57 votes,₹ 450 for two (approx.)
1741,GASTRONOM,4.0/51 votes,"Bhailal Building,Lower Parel, South Mumbai","Asian,  Italian,  Chinese",1 votes,₹ 800 for two (approx.)
1742,RamKrishna Palace,4.7/55 votes,"CBD-Belapur, Navi Mumbai","Multi-Cuisine,  North Indian,  Italian,  Chinese,  South Indian",5 votes,₹ 800 for two (approx.)
1743,Riso,4.2/5361 votes,"Janta Industrial Estate,Lower Parel, South Mumbai","Italian,  Mexican",361 votes,₹ 1500 for two (approx.)
1744,The Joker Bistro,4.2/5141 votes,"CBD-Belapur, Navi Mumbai","North Indian,  Chinese,  Continental",141 votes,₹ 1600 for two (approx.)
1745,The Sahib Room & Kipling Bar,4.5/574 votes,"The St. Regis Mumbai,Lower Parel, South Mumbai","North Indian,  Mughlai",74 votes,₹ 4000 for two (approx.)
1746,Pangat,4.1/5200 votes,"Shree Gayatri Ganesh Apartment,Borivali West, North Western","Chinese,  North Indian,  Seafood,  Konkani",200 votes,₹ 700 for two (approx.)
1747,Ithaka - Veg Lebanese Kitchen,4.2/5112 votes,"Janta Industrial Estate,Lower Parel, South Mumbai",Lebanese,112 votes,₹ 1500 for two (approx.)
1748,Firki*,4.0/5292 votes,"Janta Industrial Estate,Lower Parel, South Mumbai","Multi-Cuisine,  North Indian,  Maharashtrian,  Gujarati,  Rajasthani",292 votes,₹ 1000 for two (approx.)
1749,Farmhouse Palladium,5.0/53 votes,"Borivali West, North Western","North Indian,  Italian,  Chinese,  Continental,  Seafood",3 votes,₹ 2000 for two (approx.)
1750,Bayroute,4.3/524 votes,"High Street Phoenix Mall,Lower Parel, South Mumbai","Lebanese,  Turkish,  Moroccan,  Greek",24 votes,₹ 3000 for two (approx.)
1751,Udupi Shri Krishna,4.8/56 votes,"Kukreja Plaza,CBD-Belapur, Navi Mumbai","North Indian,  South Indian,  Chinese,  Fast Food",6 votes,₹ 1000 for two (approx.)
1752,Chin Chin Chu,4.5/597 votes,"Worli, South Mumbai","Multi-Cuisine,  Chinese,  Japanese,  Seafood,  Asian",97 votes,₹ 2500 for two (approx.)
1753,Honey Chillies,4.5/575 votes,"CBD-Belapur, Navi Mumbai","Chinese,  Thai",75 votes,₹ 1000 for two (approx.)
1754,Shaollin Temple,4.5/576 votes,"CBD-Belapur, Navi Mumbai","Chinese,  Thai",76 votes,₹ 1500 for two (approx.)
1755,Pranaam Fine Dine & Bar,4.2/545 votes,"CBD-Belapur, Navi Mumbai","North Indian,  Chinese,  Seafood,  Biryani",45 votes,₹ 1000 for two (approx.)
1756,Jade Buddha's Pub and Kitchen,4.1/516 votes,"Citi Tower,CBD-Belapur, Navi Mumbai","Asian,  Chinese,  Japanese,  Indonesian,  Seafood,  Malaysian",16 votes,₹ 1600 for two (approx.)
1757,GupShup - Redefining Food,4.2/527 votes,"Raghuvanshi Mills Compound,Lower Parel, South Mumbai","North Indian,  Fast Food,  South Indian,  Street Food",27 votes,₹ 1200 for two (approx.)
1758,Gymkhana 91 Bar & Kitchen,4.3/5435 votes,"Raghuvanshi Mills Compound,Lower Parel, South Mumbai","Modern Indian,  Continental,  Asian",435 votes,₹ 1200 for two (approx.)
1759,Masque,4.6/526 votes,"Laxmi Woolen Mills,Mahalaxmi, South Mumbai","European,  Modern Indian",26 votes,₹ 8000 for two (approx.)
1760,Tibbs Frankie,3.5/59 votes,"High Street Phoenix Mall,Lower Parel, South Mumbai",Fast Food,9 votes,₹ 200 for two (approx.)
1761,Chaai Centre,4.3/521 votes,"CBD-Belapur, Navi Mumbai","Fast Food,  Coffee,  Tea",21 votes,₹ 500 for two (approx.)
1762,Tokyo Treat,3.0/51 votes,"Bhailal Building,Lower Parel, South Mumbai","Japanese,  Sushi",1 votes,₹ 1000 for two (approx.)
1763,Sizzling China,4.3/575 votes,"Lower Parel, South Mumbai","Chinese,  Seafood",75 votes,₹ 1200 for two (approx.)
1764,Tibbs Frankie,3.7/53 votes,"High Street Phoenix Mall,Lower Parel, South Mumbai",Fast Food,3 votes,₹ 200 for two (approx.)
1765,Dhamaka Cafe & Lounge Bar,4.0/52 votes,"Mahavir Icon,CBD-Belapur, Navi Mumbai","Italian,  Continental,  Chinese,  Mughlai",2 votes,₹ 1500 for two (approx.)
1766,99 Pancakes,4.0/51 votes,"Lower Parel, South Mumbai","Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",1 votes,₹ 500 for two (approx.)
1767,The Wadapav Cafe,1.8/53 votes,"Borivali East, North Western","Street Food,  Fast Food,  Maharashtrian",3 votes,₹ 400 for two (approx.)
1768,Thee Confectionery,1.0/51 votes,"Lower Parel, South Mumbai","Desserts,  Bakery and Confectionary",1 votes,₹ 600 for two (approx.)
1769,China Bistro,4.3/5415 votes,"Worli, South Mumbai","Multi-Cuisine,  Chinese,  Thai,  Japanese,  Seafood,  Asian,  Sushi",415 votes,₹ 2000 for two (approx.)
1770,Silver Coin,4.5/563 votes,"Raj Sebastain Kinny Apartment,Borivali West, North Western","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Oriental ",63 votes,₹ 1000 for two (approx.)
1771,Light House Cafe,4.0/5239 votes,"Sun Ville,Worli, South Mumbai","American,  North Indian,  Italian,  Thai,  Mexican",239 votes,₹ 2500 for two (approx.)
1772,Glocal Junction,4.4/5875 votes,"Nehru Centre,Worli, South Mumbai","Continental,  Fast Food,  North Indian,  European",875 votes,₹ 2200 for two (approx.)
1773,Pritam's Global Cuisine,4.2/5178 votes,"Rosa Vista,Thane West, Thane","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ",178 votes,₹ 2000 for two (approx.)
1774,99 Pancakes,4.0/56 votes,"Borivali West, North Western","Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",6 votes,₹ 500 for two (approx.)
1775,Wowfillss,4.0/57 votes,"Kharghar, Navi Mumbai","Bakery and Confectionary,  Waffle,  Desserts,  Shakes",7 votes,₹ 500 for two (approx.)
1776,Persian Darbar,4.3/5213 votes,"Alexandra Terrace,Byculla, South Mumbai","North Indian,  Chinese,  Mughlai,  Biryani",213 votes,₹ 1500 for two (approx.)
1777,Pizzaria House,1.0/52 votes,"Kandivali West, North Western","Pizza,  Fast Food",2 votes,₹ 1000 for two (approx.)
1778,Tibbs Frankie,,"Raghuleela Mall,Kandivali West, North Western",Fast Food,0,₹ 200 for two (approx.)
1779,La Crosta,4.1/53 votes,"Kharghar, Navi Mumbai","Italian,  Mexican",3 votes,₹ 400 for two (approx.)
1780,Hugs & Mugs,4.5/525 votes,"Bhoomi Towers,Kharghar, Navi Mumbai","Fast Food,  Health Food",25 votes,₹ 700 for two (approx.)
1781,Banjara Dhaba,4.0/5503 votes,"Borivali West, North Western","North Indian,  Chinese",503 votes,₹ 700 for two (approx.)
